Zoo,Name,Birthday,Sex (M/F),Date of Measurement,Ossicones (Y/N),Age (days),Age (months),Height (cm),Subspecies,Other,Notes
Greenville Zoo,Kiden,1/31/2018,F,7/10/2019,Y,525,18,335,Masai,,
Seneca Park Zoo,Kip,4/3/2017,F,3/27/2019,N,723,24,335,Masai,,
Cincinnati Zoo,Lulu,10/12/2012,F,12/10/2012,Y,59,2,213,Masai,,
Cincinnati Zoo,Lulu,10/12/2012,F,1/16/2013,Y,96,3,239,Masai,,
Kansas City Zoo,Maxwell,9/30/2018,M,9/30/2018,Y,0,0,165,Masai,,
Kansas City Zoo,Maxwell,9/30/2018,M,10/3/2018,Y,3,0,168,Masai,,
Kansas City Zoo,Maxwell,9/30/2018,M,12/18/2018,Y,79,3,236,Masai,,
Kansas City Zoo,Maxwell,9/30/2018,M,1/1/2019,Y,93,3,244,Masai,,
Kansas City Zoo,Maxwell,9/30/2018,M,3/9/2019,Y,160,5,274,Masai,,
Kansas City Zoo,Maxwell,9/30/2018,M,4/1/2019,Y,183,6,274,Masai,,
Kansas City Zoo,Maxwell,9/30/2018,M,9/30/2019,Y,365,12,300,Masai,,
Kansas City Zoo,Maxwell,9/30/2018,M,12/7/2019,Y,433,14,312,Masai,,
Greenville Zoo,Miles,1/30/2009,M,7/10/2019,Y,3813,127,533,Masai,,Adult
Houston Zoo,Mtembei,5/5/2007,M,7/17/2010,Y,1169,39,376,Masai,,
Houston Zoo,Mtembei,5/5/2007,M,10/20/2011,Y,1629,54,434,Masai,,
Houston Zoo,Mtembei,5/5/2007,M,8/29/2012,Y,1943,65,447,Masai,,Adult
Seneca Park Zoo,Parker,8/6/2016,M,8/7/2016,N,1,0,207,Masai,,
Seneca Park Zoo,Parker,8/6/2016,M,9/19/2016,N,44,1,213,Masai,,
Seneca Park Zoo,Parker,8/6/2016,M,10/3/2016,N,58,2,241,Masai,,
Seneca Park Zoo,Parker,8/6/2016,M,11/30/2016,N,116,4,265,Masai,,
Seneca Park Zoo,Parker,8/6/2016,M,3/27/2019,N,963,32,366,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,10/19/2018,Y,0,0,183,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,11/4/2018,Y,16,1,208,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,11/12/2018,Y,24,1,213,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,11/19/2018,Y,31,1,213,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,11/26/2018,Y,38,1,218,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,12/3/2018,Y,45,2,218,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,12/10/2018,Y,52,2,221,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,12/17/2018,Y,59,2,224,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,12/25/2018,Y,67,2,229,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,12/31/2018,Y,73,2,234,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,1/8/2019,Y,81,3,241,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,1/14/2019,Y,87,3,244,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,2/26/2019,Y,130,4,254,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,3/19/2019,Y,151,5,262,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,4/18/2019,Y,181,6,267,Masai,,
Brevard Zoo,T-Bone,10/19/2018,M,5/20/2019,Y,213,7,274,Masai,,
Cincinnati Zoo,Theo,11/23/2019,M,11/27/2019,N,4,0,175,Masai,,
Cincinnati Zoo,Zoey,9/13/2016,F,12/27/2019,Y,1200,40,363,Masai,,
Zoo New England,,7/24/2016,F,5/19/2019,N,1029,34,411,Masai,,
Zoo New England,,3/26/2016,M,5/19/2019,N,1149,38,427,Masai,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
